Word,Pleasantness,Activation,Imagery,Pleasantness_SD,Activation_SD,Imagery_SD
río,2.6,2.4,2.8,0.5477,0.8944,0.4472
dolor,1,2.6,2.8,0,0.5477,0.4472
caso,2,1.8,1.4,0,0.4472,0.8944
mantener,1.8,3,1.6,0.4472,0,0.8944
historia,2.4,2,2,0.5477,0.7071,1
región,2,1.8,1.6,0,0.4472,0.8944
abrir,2.4,3,3,0.5477,0,0
último,1.6,1.8,2.2,0.5477,0.8367,0.8367
hermano,2.6,2.2,2.8,0.5477,0.4472,0.4472
lugar,2,1.6,2,0,0.5477,0.7071
junto,2.4,2.2,2.4,0.5477,0.8367,0.8944
presentar,2.4,3,2.4,0.5477,0,0.8944
producir,2.4,3,2.2,0.5477,0,1.0954
estar,2.8,2.2,2.4,0.4472,0.8367,0.5477
venir,2.4,3,3,0.5477,0,0
palabra,2,2.2,2.2,0,0.4472,0.8367
habitante,2.5,1.8333,2.8333,0.5477,0.9832,0.4082
fin,2,2.2,2.2,0,0.8367,0.8367
sólo,2,1.8,2,0.7071,0.8367,1
alma,2.5,2,1.5,0.5477,0.8944,0.8367
rey,1.8333,2,2.1667,0.4082,0.6325,0.9832
mundo,2.4,2,2.8,0.5477,0.7071,0.4472
ser,2.4,2.4,2.2,0.5477,0.8944,0.8367
número,2.1667,1.8333,2.6667,0.4082,0.4082,0.5164
considerar,2.3333,2.5,1.6667,0.5164,0.8367,0.8165
querer,3,2.8,2.4,0,0.4472,0.8944
recordar,2.3333,2.3333,2.3333,0.5164,1.0328,1.0328
amar,3,3,2.6667,0,0,0.5164
creer,2.6,2.6,2.2,0.5477,0.8944,0.8367
pedir,1.5,2.5,2.5,0.5477,0.8367,0.8367
caer,1.5,1.6667,2.3333,0.5477,0.8165,0.8165
siguiente,2.1667,2.3333,2.1667,0.4082,0.5164,0.9832
trabajo,2.3333,2.6667,2.5,0.5164,0.5164,0.5477
nacional,2.4,2.2,2.8,0.5477,0.8367,0.4472
convertir,1.8,3,2,0.4472,0,0.7071
tener,2.6,1.8,2.8,0.5477,1.0954,0.4472
lado,2,1.6,2.4,0,0.5477,0.8944
punto,2,1.6,2.6,0,0.5477,0.8944
esperar,1.2,1,2.8,0.4472,0,0.4472
amigo,3,2.4,3,0,0.5477,0
manera,2,2,1.2,0,0.7071,0.4472
total,2,1.8,1.6,0,0.4472,0.5477
poder,2.4,2.8,2.4,0.5477,0.4472,0.8944
ubicar,1.8,3,2.4,0.4472,0,0.5477
crear,3,3,2.2,0,0,0.8367
calle,2,1.6,2.8,0,0.5477,0.4472
terminar,2.2,3,2.8,0.4472,0,0.4472
forma,2.2,1.8,1.4,0.4472,0.4472,0.5477
sistema,2.2,2.2,1.2,0.4472,0.4472,0.4472
año,2,1.8,3,0,0.8367,0
existir,2.6,2.2,1.8,0.5477,1.0954,0.8367
hijo,2.6,2.2,3,0.5477,0.4472,0
partir,2,2.8,2.6,0,0.4472,0.8944
comenzar,2.6,3,2.8,0.5477,0,0.4472
luz,2.6,2,3,0.5477,0.7071,0
buscar,2.2,3,2.8,0.4472,0,0.4472
paso,2,2.4,2.2,0,0.5477,0.8367
vida,2.8,2.2,2.4,0.4472,1.0954,0.8944
país,2.2,1.8,2.8,0.4472,0.4472,0.4472
encontrar,2.6,2.6,3,0.5477,0.5477,0
decidir,2.2,3,1.8,0.4472,0,0.8367
parte,2,1.8,2.8,0,0.4472,0.4472
noche,2.6,2,3,0.5477,0.7071,0
llevar,2,2.6,3,0,0.5477,0
poner,2.4,3,3,0.5477,0,0
hora,2,1.4,2.2,0,0.5477,0.8367
incluir,2.2,2.6,1.8,0.4472,0.5477,0.8367
decir,2.2,2.8,3,0.4472,0.4472,0
escuchar,2.4,2.6,2.8,0.5477,0.5477,0.4472
perder,1,2.4,3,0,0.8944,0
grupo,2.6,2,2.8,0.5477,1,0.4472
libro,2.6,2,3,0.5477,0.7071,0
fuerza,2.4,2.4,2,0.5477,0.8944,1
familia,3,2.4,2.8,0,0.5477,0.4472
llegar,2.4,3,3,0.5477,0,0
cielo,2.8,2.4,2.6,0.4472,0.5477,0.8944
zona,2,1.8,1.6,0,0.8367,0.8944
verdad,2.8,2.2,1.8,0.4472,0.8367,0.8367
persona,2.4,2.6,2.8,0.5477,0.5477,0.4472
norte,2.2,1.6,2.4,0.4472,0.5477,0.8944
hombre,2.4,2.4,3,0.5477,0.5477,0
cuenta,2,1.8,2.4,0,0.8367,0.5477
puerta,2,1.4,3,0,0.5477,0
dirigir,2,2.8,2.2,0,0.4472,0.4472
momento,2.2,1.6,1.8,0.4472,0.5477,0.8367
muerte,1.2,2,2.2,0.4472,1,1.0954
municipio,2,1.8,2.6,0,0.4472,0.8944
tratar,2.2,2.8,1.8,0.4472,0.4472,0.8367
quedar,2,1.6,2.2,0,0.8944,0.8367
unir,2.4,2.8,2.8,0.5477,0.4472,0.4472
cabeza,2,2,3,0,0.7071,0
tierra,2.4,2,3,0.5477,1,0
mismo,2,2.2,1.6,0,0.4472,0.5477
centro,2.4,1.6,2.4,0.5477,0.5477,0.8944
aun,2,1.8,1,0,0.4472,0
casa,2.8,1.4,2.8,0.4472,0.5477,0.4472
gente,2.4,2.2,3,0.5477,1.0954,0
principal,2.8,2.2,2.2,0.4472,0.8367,0.8367
tan,2,1.8,1.4,0,0.4472,0.8944
mejor,2.8,2.4,2.2,0.4472,0.5477,0.8367
preguntar,2.2,3,2.4,0.8367,0,0.8944
saber,2.8,3,2,0.4472,0,1
formar,2.4,3,2,0.5477,0,0.7071
único,2.4,2.2,2.6,0.5477,0.8367,0.8944
vez,2,2,1.8,0,0.7071,0.8367
camino,2.6,2.4,2.6,0.5477,0.8944,0.8944
recuerdo,2.2,1.8,3,0.8367,1.0954,0
mujer,2.6,2.6,3,0.5477,0.5477,0
conocer,2.8,2.8,2.4,0.4472,0.4472,0.8944
parecer,2.4,2.2,2.4,0.5477,0.4472,0.5477
olvidar,2,2.6,2.4,0.7071,0.5477,0.8944
metro,2.1667,2,3,0.4082,0.8944,0
importante,2.3333,2.3333,2.3333,0.8165,0.8165,0.8165
universidad,2.7143,2.8571,3,0.488,0.378,0
siglo,2,1.2,2.6,0,0.4472,0.5477
color,2.4,2,3,0.5477,0.7071,0
pasar,2,2.4,2.6,0,0.8944,0.5477
correr,2.8,3,3,0.4472,0,0
mano,2.2,2,3,0.4472,0,0
contar,2.4,3,2.8,0.5477,0,0.4472
deber,1.6,2,2.8,0.5477,1,0.4472
salir,2.6,3,3,0.5477,0,0
vivir,2.8,3,3,0.4472,0,0
estado,1.8,1.8,1.8,0.4472,0.8367,1.0954
ver,2.4,2.6,2.8,0.5477,0.8944,0.4472
pequeño,2.2,1.6,3,0.4472,0.5477,0
padre,3,2.6,3,0,0.5477,0
gobierno,2,2.6667,2.8333,0.6325,0.5164,0.4082
condado,2,1.2,2.2,0,0.4472,1.0954
utilizar,2.1667,2.6667,2.3333,0.4082,0.5164,0.8165
madre,3,2.8,3,0,0.4472,0
sentir,2.6,2.6,2.4,0.5477,0.8944,0.8944
tanto,2,2.2,1.8,0,0.8367,1.0954
cambiar,2.3333,2.6667,2.1667,0.5164,0.5164,0.7528
final,2.4,2.2,2.6,0.5477,0.8367,0.8944
escribir,2.2,2.8,3,0.4472,0.4472,0
día,2.4,2.2,3,0.5477,0.8367,0
sueño,2.4,2.2,2.4,0.5477,0.8367,0.8944
usar,2,2.8,2.2,0,0.4472,0.8367
empezar,2.4,3,2,0.5477,0,1
tomar,2,2.6,2.8,0,0.5477,0.4472
pesar,1.6,2.2,2.4,0.5477,0.8367,0.5477
equipo,2.8,2.4,2.8,0.4472,0.8944,0.4472
ciudad,2.4,2.4,3,0.5477,0.8944,0
juego,3,3,2.8,0,0,0.4472
provincia,2.6,2,2.8,0.5477,0.7071,0.4472
gran,2.4,2.2,2.6,0.5477,0.8367,0.5477
general,2.2,1.8,1.4,0.4472,0.4472,0.8944
morir,1.4,2.4,2.6,0.8944,0.8944,0.8944
nacer,2.8,3,2.8,0.4472,0,0.4472
niño,2.6,2.8,3,0.8944,0.4472,0
mayor,2.3333,2.1667,3,0.5164,0.7528,0
recibir,2.6667,2.1667,2.6667,0.5164,0.7528,0.5164
serie,2.3333,2.1667,2,0.5164,0.7528,0.8944
silencio,2.6667,1.8333,3,0.5164,0.9832,0
realidad,2.3333,2.3333,2.6667,0.5164,0.8165,0.8165
real,2.3333,2.3333,2.5,0.5164,0.8165,0.5477
proyecto,2.5,2.1667,2.6667,0.5477,0.9832,0.5164
estudio,2.5,2.5,2.5,0.5477,0.8367,0.5477
tocar,2.3333,2.8333,2.8333,0.5164,0.4082,0.4082
conseguir,2.3333,2.5,2.6667,0.5164,0.8367,0.8165
película,2,2.1429,2.5714,1,0.6901,0.5345
mes,2.2,2,2.2,0.4472,0.7071,0.8367
sol,2.4,2.6,3,0.8944,0.5477,0
diferente,2.6,2.4,2,0.5477,0.5477,0.7071
ganar,2.6,2.8,2.4,0.5477,0.4472,0.8944
isla,2.8,2,2.8,0.4472,0.7071,0.4472
censo,2,2.6,2.2,0,0.5477,0.8367
intentar,2.8,2.6,2.4,0.4472,0.5477,0.5477
mostrar,2.6,2.6,2.8,0.5477,0.5477,0.4472
viejo,2.2,2.2,2.4,0.4472,0.8367,0.5477
humano,2.8,2.8,2.8,0.4472,0.4472,0.4472
caminar,2.8,3,3,0.4472,0,0
pie,2,2.4,2.8,0,0.5477,0.4472
orden,2.1667,2.3333,2.5,0.7528,0.8165,0.8367
gustar,2.8333,2.8333,2.3333,0.4082,0.4082,0.8165
llorar,1.1667,2.8333,2.8333,0.4082,0.4082,0.4082
levantar,1.8,2.6,2.4,0.4472,0.8944,0.5477
cara,2.4,1.8,2.2,0.5477,0.4472,0.8367
rostro,2.2,2,2.2,0.4472,0.7071,0.8367
señor,1.8,2.2,2.4,0.4472,0.8367,0.5477
música,3,2.6,2.2,0,0.8944,1.0954
raza,1.8,2.4,3,0.4472,0.5477,0
idea,2.8,3,2.4,0.4472,0,0.8944
viento,2.6,2.6,2.6,0.5477,0.8944,0.8944
iglesia,1.4,2,3,0.5477,1,0
través,2,2,1,0,0,0
problema,1.2,2.4,2.4,0.4472,0.8944,0.8944
álbum,2.2,2.2,2.6,0.4472,0.8367,0.8944
desear,2.6,2.8,2.2,0.5477,0.4472,0.8367
boca,2.4,2.4,3,0.5477,0.5477,0
mente,2.6,2.4,2,0.5477,0.5477,1
imagen,2.4,2,2.6,0.5477,0,0.8944
miedo,1,2.8,2.6,0,0.4472,0.8944
época,2,2,2,0,0,1
acabar,2.2,2.6,2.2,0.4472,0.5477,1.0954
piel,2.6,2,3,0.5477,0,0
carrera,2.2,2.8,3,0.4472,0.4472,0
construir,2.8,3,3,0.4472,0,0
obtener,2.4,3,1.8,0.5477,0,0.8367
brazo,2.2,1.8,3,0.4472,0.4472,0
fuerte,2.6,2.8,2.2,0.5477,0.4472,1.0954
demografía,2,1.8333,1.5,0,0.4082,0.5477
club,2.6667,2.5,2.6667,0.5164,0.5477,0.8165
publicar,2.1667,3,2.3333,0.4082,0,0.8165
resto,2.1667,2,1.8333,0.4082,0,0.9832
observar,2.3333,2.6667,2.6667,0.5164,0.8165,0.8165
situar,2,2,2,0,0.8944,0.8944
temporada,2.3333,2.1667,1.6667,0.5164,0.4082,0.8165
lanzar,2.3333,3,2.8333,0.5164,0,0.4082
cerrar,1.6667,3,3,0.5164,0,0
servicio,2.6,2.4,1.6,0.5477,0.8944,0.8944
beso,3,3,3,0,0,0
presidente,1.8,2.8,3,0.4472,0.4472,0
sentido,2.4,2.4,1.6,0.5477,0.5477,0.8944
sonrisa,3,3,3,0,0,0
necesitar,2.4,3,2,0.5477,0,0.7071
razón,2.6,2.6,1.8,0.5477,0.5477,1.0954
miembro,2.4,2.6,2.8,0.5477,0.5477,0.4472
movimiento,2.6,2.6,2.8,0.5477,0.8944,0.4472
regresar,2.4,3,2.8,0.8944,0,0.4472
relación,3,3,2.4,0,0,0.8944
frente,2,2,2.2,0,0,0.8367
escuela,2.8,3,3,0.4472,0,0
papel,2.4,2.4,2.8,0.5477,0.5477,0.4472
línea,2.2,2,3,0.4472,0.7071,0
destacar,2.6,2.8,2.2,0.5477,0.4472,0.8367
ejemplo,2.2,2.6,2,0.4472,0.5477,0.7071
descubrir,3,3,2.4,0,0,0.8944
servir,2,2.8,2.4,0.7071,0.4472,0.8944
arte,3,2.8,2.6,0,0.4472,0.8944
sangre,2,2,3,0.7071,0.7071,0
estrella,3,2.6,3,0,0.5477,0
edad,2,2,2,0.7071,0.7071,0.7071
derecho,2.2,2.6,2,0.4472,0.5477,0.7071
labio,2.4,2.4,3,0.5477,0.5477,0
dios,2,2,1.6,0.7071,0.7071,0.8944
pertenecer,2.4,2.4,1.6,0.5477,0.8944,0.5477
continuar,2.6,2.8,1.8,0.5477,0.4472,0.8367
matar,1,2.4,2.6,0,0.8944,0.5477
participar,2.8,3,2.4,0.4472,0,0.5477
posible,2.8,2.2,2.4,0.4472,0.4472,0.8944
pueblo,2.6,1.8,2.6,0.5477,0.8367,0.5477
medio,2,2,2.6,0,0,0.8944
despertar,2.8,2.8,3,0.4472,0.4472,0
espacio,2.4,1.4,2,0.5477,0.5477,0.7071
distrito,2,2,2,0,0,0.7071
minuto,1.8,2.2,2,0.4472,0.4472,0
cantar,2.8,3,2.8,0.4472,0,0.4472
igual,2.2,2,2.6,0.4472,0,0.5477
departamento,2.2,1.8,2.8,0.4472,0.4472,0.4472
sacar,2.2,3,2.8,0.4472,0,0.4472
nada,2,1.6,2,0,0.5477,1
cambio,2.6,2.8,2,0.5477,0.4472,0.7071
gracia,2.8,2.2,2,0.4472,0.4472,1
blanco,2.6,1.6,3,0.5477,0.8944,0
personaje,2.8,2.6,2.4,0.4472,0.5477,0.5477
semana,2,2.4,2.6,0.7071,0.5477,0.5477
ocupar,1.8,2.8,2.2,0.4472,0.4472,0.8367
bajo,2,1.8,3,0,0.4472,0
antiguo,2.6,1.4,2.8,0.5477,0.5477,0.4472
localidad,2,2,2,0,0,0.7071
lleno,2.2,1.6,3,0.4472,0.5477,0
ser,2.8,3,2.2,0.4472,0,1.0954
ocurrir,2.4,2.8,1.4,0.5477,0.4472,0.5477
principio,2.4,2.4,1.8,0.5477,0.5477,0.8367
negro,2,1.6,2.8,0,0.5477,0.4472
oscuro,2,1.6,2.8,0,0.5477,0.4472
ejército,1.6,2.6,3,0.8944,0.5477,0
densidad,2,1.8,1.8,0,0.4472,0.8367
frente,2,1.8,2,0,0.4472,0.7071
hermoso,3,2.2,2.6,0,0.8367,0.8944
feliz,3,2.8,2.4,0,0.4472,0.8944
poblacional,2,1.8,1.6,0,0.4472,0.5477
situación,2,2,1.6,0,0.7071,0.5477
detener,2,3,2.4,0,0,0.8944
ayudar,2.6,3,2.6,0.5477,0,0.8944
leer,2.8,2.6,2.8,0.4472,0.8944,0.4472
anterior,2.2,1.8,1.6,0.4472,0.4472,0.8944
largo,1.8,2,2.4,0.4472,0.7071,0.8944
acompañar,2.8,3,2.4,0.4472,0,0.8944
abandonar,1.2,2.8,2,0.4472,0.4472,1
distinto,2.2,2.2,2.2,0.4472,0.4472,1.0954
social,2.4,2,2,0.5477,0.7071,1
título,1.8,2,2.6,0.4472,0,0.8944
origen,2.2,1.8,1.8,0.4472,0.4472,0.8367
desarrollar,2.2,3,2.4,0.4472,0,0.8944
actual,2,1.8,2.2,0,0.4472,0.8367
bello,2.8,1.6,2.6,0.4472,0.8944,0.8944
mayoría,1.8,2,2.4,0.4472,0.7071,0.8944
dedicar,2.4,2.8,2.6,0.5477,0.4472,0.8944
área,2.2,1.4,2.6,0.4472,0.5477,0.8944
chico,1.8,1.6,3,0.4472,0.5477,0
importar,2.4,2.4,2.6,0.5477,0.8944,0.8944
clase,2.4,2.2,2.6,0.5477,0.4472,0.8944
político,1.8,2.4,1.6,0.4472,0.5477,0.8944
internacional,2.2,1.8,2,0.4472,0.4472,1
especial,2.6,1.8,2.4,0.5477,0.8367,0.8944
sentimiento,2.4,2,2.2,0.5477,1,0.8367
alto,2.2,1.8,2.6,0.4472,0.8367,0.8944
nivel,2.2,2.2,2.4,0.4472,0.4472,0.8944
árbol,2.6,1.6,3,0.5477,0.5477,0
disco,2.4,2,3,0.5477,0.7071,0
pensamiento,2.6,2.4,2,0.5477,0.8944,1
cama,2.6,1.8,3,0.5477,0.8367,0
extraño,2.2,1.8,2.2,0.4472,0.8367,0.8367
reconocer,2.4,3,2.2,0.5477,0,0.8367
sufrir,1.4,2.6,2.6,0.8944,0.8944,0.8944
superficie,2.2,1.6,2.6,0.4472,0.5477,0.8944
actividad,2.6,2.8,2.4,0.5477,0.4472,0.8944
programa,2,2.6,2.2,0,0.5477,0.8367
edificio,2,1.2,3,0,0.4472,0
responder,2.4286,2.5714,2.2857,0.5345,0.5345,0.7559
comer,2.4,3,2.6,0.5477,0,0.8944
representar,2.4,2.8,2.4,0.5477,0.4472,0.8944
iniciar,2.6,3,2.4,0.5477,0,0.8944
establecer,2.1667,2.8333,1.5,0.4082,0.4082,0.8367
estación,2.3333,1.5,2.6667,0.5164,0.5477,0.8165
hecho,2.1667,2.1667,1.6667,0.4082,0.7528,0.8165
mundial,2.3333,2.1667,2.5,0.5164,0.9832,0.8367
suelo,2.5,2,3,0.5477,0.6325,0
oficina,2.2,2,3,0.4472,0.7071,0
ventana,2.8,1.6,3,0.4472,0.5477,0
empresa,2,2.4,2.6,0,0.8944,0.8944
éxito,2.8,2.6,2.8,0.4472,0.5477,0.4472
poseer,2.6,2.6,2.8,0.5477,0.5477,0.4472
ley,2,2.8,2.8,0,0.4472,0.4472
compañía,3,3,3,0,0,0
suceder,2.4,2.6,2.8,0.5477,0.8944,0.4472
instante,2.4,2,2.8,0.5477,0,0.4472
cubrir,2.4,3,2.6,0.5477,0,0.8944
sociedad,2.6,2.6,2.8,0.5477,0.5477,0.4472
reír,3,3,3,0,0,0
traer,2,3,2.8,0,0,0.4472
versión,2,2,1.8,0,0,0.8367
lengua,2.2,2.8,2.8,0.4472,0.4472,0.4472
uso,2,2.6,2.4,0.7071,0.5477,0.8944
cantón,2.2,1.8,2.2,0.4472,0.4472,0.8367
entregar,2.4,2.8,2.8,0.5477,0.4472,0.4472
comprender,2.6667,2.5,2.5,0.5164,0.8367,0.5477
vivo,2.5,2.8333,2.6667,0.5477,0.4082,0.5164
territorio,2.1667,1.6667,2.8333,0.4082,0.5164,0.4082
luna,2.8333,1.6667,3,0.4082,0.5164,0
vuelta,2.1667,2.5,2.5,0.4082,0.5477,0.5477
ofrecer,2.75,3,2.875,0.7071,0,0.3536
destino,2.4,2,2.2,0.5477,1,0.8367
hoja,2.4,1.8,3,0.5477,0.4472,0
sombra,2.4,1.8,3,0.5477,0.4472,0
diverso,2.4,2.2,2.2,0.5477,0.8367,0.8367
base,2,2,2.2,0,0,0.8367
público,2.4,2.4,2.8,0.8944,0.5477,0.4472
mover,2.2,2.8,2.6,0.8367,0.4472,0.5477
libre,2.8,2.6,2.2,0.4472,0.5477,1.0954
batalla,1.4,2.8,2.8,0.5477,0.4472,0.4472
fondo,2,1.6,2.8,0.7071,0.5477,0.4472
acariciar,2.8,3,3,0.4472,0,0
millón,2,2,2.2,0,0,0.8367
fuego,2.8,3,3,0.4472,0,0
flor,3,2.2,3,0,0.4472,0
don,2.8,2.2,2.6,0.4472,0.8367,0.5477
resultar,2,2.4,2,0,0.8944,1
planta,3,2.2,3,0,0.4472,0
acuerdo,2.4,3,2.6,0.5477,0,0.5477
nombrar,2,2.8,2.4,0,0.4472,0.8944
joven,2.2,2.2,2.6,0.4472,0.4472,0.5477
crecer,2.8,3,2.6,0.4472,0,0.5477
premio,2.8,2.4,2.8,0.4472,0.8944,0.4472
componer,2.6,3,2.6,0.5477,0,0.5477
viaje,2.6,2.8,2.8,0.5477,0.4472,0.4472
modo,2,1.8,1.6,0,0.4472,0.5477
sonido,2.6,2.4,3,0.5477,0.8944,0
compañero,2.6,2.2,2.8,0.5477,0.4472,0.4472
suponer,2,2.6,2,0,0.5477,1
desarrollo,2.6,3,2.8,0.5477,0,0.4472
menor,2,2,2.6,0,0,0.5477
construcción,2.4,3,2.6,0.5477,0,0.5477
soler,2.2,2.6,2,0.4472,0.5477,0.7071
animal,2.8,2.6,2.8,0.4472,0.5477,0.4472
popular,2,2.2,2.8,0,0.4472,0.4472
soñar,3,2.8,3,0,0.4472,0
fundar,2,3,3,0,0,0
volar,2.6,3,3,0.5477,0,0
rojo,2.6,2,2.8,0.5477,0.7071,0.4472
cargo,2.2,2.4,2.8,0.4472,0.5477,0.4472
contener,2.2,2.6,2.6,0.4472,0.5477,0.5477
fútbol,1.8,3,3,0.4472,0,0
joven,2.2,2.4,3,0.4472,0.5477,0
valor,2.4,2.2,2.6,0.5477,0.4472,0.5477
medio,2,2,2.2,0,0,1.0954
proceso,2,2.8,2.6,0,0.4472,0.5477
gritar,1.6,3,3,0.8944,0,0
estilo,2.4,2.4,2.4,0.5477,0.5477,0.8944
presencia,2.2,2.6,2.4,0.4472,0.5477,0.8944
común,2,2,2,0,0,1
ocasión,2.4,2.2,2.4,0.5477,0.4472,0.8944
letra,2,1.8,2.8,0,0.4472,0.4472
lluvia,2.6,2.8,3,0.5477,0.4472,0
división,2,2.8,2.8,0,0.4472,0.4472
allá,2,2.2,2.6,0,0.8367,0.5477
estudiar,2.2,3,3,0.4472,0,0
término,2,1.8,1.8,0,0.4472,0.8367
reino,2.4,2.2,2.6,0.5477,0.4472,0.5477
triste,1,1.8333,3,0,0.7528,0
lágrima,1.8333,2.5,3,0.4082,0.5477,0
producción,2.5,2.8333,2.5,0.5477,0.4082,0.5477
dirección,2.1667,2.8333,2.5,0.4082,0.4082,0.8367
romper,2,3,3,0.6325,0,0
república,2.3333,2.1667,2.1667,0.5164,0.4082,0.9832
respuesta,2.1667,2.8333,1.8333,0.4082,0.4082,0.7528
acción,2.6,3,2.8,0.5477,0,0.4472
necesario,2,1.8,1.6,0.7071,0.4472,0.8944
natural,2.2,2,2.4,0.4472,0,0.5477
subir,2.4,3,3,0.5477,0,0
autor,2.2,2.6,3,0.4472,0.5477,0
disponer,2.4,2.4,1.8,0.5477,0.8944,0.8367
soledad,1.4,1.2,3,0.5477,0.4472,0
malo,1,2.2,3,0,0.4472,0
oficial,2,2.2,2,0,0.4472,0.7071
televisión,2.2,1.8,3,0.4472,0.8367,0
cabo,1.8,1.6,2.4,0.4472,0.5477,0.8944
todavía,2.4,1.8,1.8,0.5477,0.8367,0.8367
geografía,2.2,1.8,2.4,0.4472,0.4472,0.5477
desaparecer,2,2.4,3,0,0.8944,0
separar,1.8,3,2.6,0.4472,0,0.8944
económico,2.2,1.8,2.6,0.4472,0.4472,0.8944
significar,2,2,1.8,0,1,0.8367
favor,2.6,2.8,2.6,0.5477,0.4472,0.5477
jamás,1.8,2,2.2,0.4472,0.7071,0.8367
director,2,2.4,2.8,0,0.5477,0.4472
corresponder,2.2,2.2,2.4,0.4472,0.8367,0.5477
habitación,2,2,3,0,0,0
género,2,1.8,2,0,0.4472,0.7071
comunidad,2.6,2,3,0.5477,0,0
cierto,2.4,2.2,1.8,0.5477,0.4472,0.8367
puerto,2.4,1.8,2.8,0.5477,0.4472,0.4472
sonreír,3,3,3,0,0,0
deseo,2.4,3,2.4,0.5477,0,0.8944
aceptar,2.6,2.8,2.6,0.5477,0.4472,0.8944
posición,2.2,2.2,2.4,0.4472,0.8367,0.5477
década,2.2,2,2.2,0.4472,0.7071,1.0954
verde,2.4,2.2,3,0.5477,0.4472,0
dedo,2.2,2.2,3,0.4472,0.4472,0
alejar,2,3,3,0.7071,0,0
esposo,1.8,2.4,2.8,0.4472,0.5477,0.4472
pared,1.6,1.8,3,0.5477,0.8367,0
besar,2.6,2.8,3,0.5477,0.4472,0
basar,2.2,2.2,2.2,0.4472,0.4472,0.8367
barrio,2.4,2.4,3,0.5477,0.8944,0
efecto,2.4,2.8,1.6,0.5477,0.4472,0.8944
escapar,1.8,3,2.4,0.8367,0,0.8944
cruzar,2.2,3,2.6,0.4472,0,0.8944
oír,2.6,2.2,3,0.5477,0.8367,0
parque,2.8,2.2,3,0.4472,0.8367,0
fiesta,2.4,2.8,3,0.5477,0.4472,0
imaginar,2.6,2.4,2.6,0.5477,0.8944,0.5477
negro,2.4,2.4,3,0.5477,0.5477,0
perro,2.2,2.6,3,0.8367,0.5477,0
permanecer,2.6,1.6,2,0.5477,0.8944,1
evitar,1.8,3,2.4,0.4472,0,0.8944
bajar,2,2.8,2.8,0,0.4472,0.4472
casar,2.5,2.8333,2.8333,0.5477,0.4082,0.4082
elegir,2.8,3,2.2,0.4472,0,0.8367
recorrer,2.2,3,2.6,0.4472,0,0.5477
cumplir,2.8,2.8,2.2,0.4472,0.4472,0.8367
fuente,2.2,1.2,3,0.4472,0.4472,0
segundo,2,1.6,1.8,0,0.5477,0.8367
memoria,2.2,2.4,2,0.4472,0.8944,1
esconder,1.6,2.8,2.6,0.5477,0.4472,0.8944
cultura,2.8,2.6,2,0.4472,0.5477,1
resultado,2.2,1.6,1.8,0.4472,0.8944,0.8367
nuevamente,2,1.8,1.8,0,0.4472,1.0954
pecho,2.1667,1.3333,3,0.4082,0.5164,0
profesor,2.2,2.2,3,0.4472,0.8367,0
