"","English.Word","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","Spanish.Word"
"147","action",0,0,0,0,0,0,1,0,0,0,"acción"
"148","actionable",1,0,1,0,0,1,0,0,0,0,"procesable"
"149","active",0,0,0,0,0,0,0,0,0,0,"activo"
"150","activity",0,0,0,0,0,0,0,0,0,0,"actividad"
"151","actor",0,0,0,0,0,0,0,0,0,0,"actor"
"152","actual",0,0,0,0,0,0,1,0,0,0,"actual"
"153","actuality",0,0,0,0,0,0,0,0,0,0,"realidad"
"154","actuary",0,0,0,0,0,0,0,0,0,0,"actuario"
"155","acuity",0,0,0,0,0,0,1,0,0,0,"agudeza"
"156","acumen",0,0,0,0,0,0,1,0,0,0,"perspicacia"
"157","acupuncture",0,0,0,0,0,0,0,0,0,0,"acupuntura"
"158","acutely",0,0,0,0,0,0,0,0,0,0,"extremadamente"
"159","adage",0,0,0,0,0,0,0,0,0,0,"adagio"
"160","adamant",0,0,0,0,0,0,0,0,0,0,"firme"
"161","adapt",0,0,0,0,0,0,1,0,0,0,"adaptar"
"162","adaptable",0,0,0,0,0,0,1,0,0,0,"adaptable"
"163","add",0,0,0,0,0,0,0,0,0,0,"agregar"
"164","added",0,0,0,0,0,0,0,0,0,0,"adicional"
"165","addendum",0,0,0,0,0,0,0,0,0,0,"apéndice"
"166","adder",1,0,1,1,0,1,0,1,0,0,"sumador"
"167","addiction",0,0,0,0,0,1,0,0,0,0,"adiccion"
"168","addition",0,0,0,0,0,0,0,0,0,0,"suma"
"169","additional",0,0,0,0,0,0,0,0,0,0,"adicional"
"170","additive",0,0,0,0,0,0,0,0,0,0,"aditivo"
"171","address",0,0,0,0,0,0,0,0,0,0,"Dirección"
"172","addressee",0,0,0,0,0,0,0,0,0,0,"destinatario"
"173","addresses",0,1,0,0,0,0,1,0,0,0,"direcciones"
"174","adept",0,0,0,0,0,0,1,0,0,0,"adepto"
"175","adequacy",0,0,0,0,0,0,1,0,0,0,"adecuación"
"176","adequate",0,0,0,0,0,0,0,0,0,0,"adecuado"
"177","adhere",0,0,0,0,0,0,0,0,0,0,"adherirse"
"178","adherence",0,0,0,0,0,0,0,0,0,0,"adherencia"
"179","adherent",0,0,0,0,0,0,0,0,0,0,"adherente"
"180","adhering",0,0,0,0,0,0,0,0,0,1,"adherido"
"181","adhesion",0,0,0,0,0,0,0,0,0,0,"adhesión"
"182","adhesive",0,0,0,0,0,0,0,0,0,0,"adhesivo"
"183","adieu",0,0,0,0,0,0,0,0,0,0,"adiós"
"184","adipose",0,0,0,0,0,1,0,0,0,0,"adiposo"
"185","adjacency",0,0,0,0,0,0,0,0,0,0,"proximidad"
"186","adjacent",0,0,0,0,0,0,0,0,0,0,"adyacente"
"187","adjective",0,0,0,0,0,0,0,0,0,0,"adjetivo"
"188","adjoining",0,0,0,0,0,0,0,0,0,0,"contiguo"
"189","adjourn",0,0,0,0,0,0,0,0,0,0,"aplazar"
"190","adjournment",0,0,0,0,0,0,0,0,0,0,"aplazamiento"
"191","adjudicate",0,0,0,1,0,1,0,0,0,0,"juzgar"
"192","adjudication",0,0,0,0,0,0,0,0,0,0,"adjudicación"
"193","adjunct",0,0,0,0,0,0,1,0,0,0,"adjunto"
"194","adjust",0,0,0,0,0,0,0,0,0,0,"ajustar"
"195","adjustment",0,0,0,0,0,0,0,0,0,0,"ajustamiento"
"196","adjuvant",0,0,0,0,0,0,0,0,0,0,"auxiliar"
"197","administer",0,0,0,0,0,0,0,0,0,0,"administrar"
"198","administration",0,0,0,0,0,0,0,0,0,0,"administración"
"199","administrative",0,0,0,0,0,0,0,0,0,1,"administrativo"
"200","admirable",0,0,0,0,1,0,1,0,0,1,"admirable"
"201","admiral",0,0,0,0,0,0,1,0,0,1,"almirante"
"202","admiralty",0,0,0,0,0,0,0,0,0,0,"almirantazgo"
"203","admiration",0,0,0,0,1,0,1,0,0,1,"admiración"
"204","admire",0,0,0,0,0,0,1,0,0,1,"admirar"
"205","admirer",0,0,0,0,0,0,1,0,0,0,"admirador"
"206","admissibility",0,0,0,0,0,0,0,0,0,0,"admisibilidad"
"207","admissible",0,0,0,0,0,0,1,0,0,1,"admisible"
"208","admission",0,0,0,0,0,0,0,0,0,0,"admisión"
"209","admit",0,0,0,0,0,0,0,0,0,0,"admitir"
"210","admittance",0,0,0,0,0,0,0,0,0,0,"entrada"
"211","admitted",0,0,0,0,0,0,0,0,0,0,"aceptado"
"212","admitting",0,0,0,0,0,0,0,0,0,0,"admitiendo"
"213","admixture",0,0,0,0,0,0,0,0,0,0,"mezcla"
"214","admonition",0,0,0,1,0,1,0,0,0,0,"amonestación"
"215","ado",0,0,0,0,0,0,0,0,0,0,"alharaca"
"216","adobe",0,0,0,0,0,0,0,0,0,0,"adobe"
"217","adolescence",0,0,0,0,0,0,0,0,0,0,"adolescencia"
"218","adolescent",0,0,0,0,0,0,0,0,0,0,"adolescente"
"219","adopt",0,0,0,0,0,0,0,0,0,0,"adoptar"
"220","adoption",0,0,0,0,0,0,0,0,0,0,"adopción"
"221","adorable",0,0,0,0,1,0,1,0,0,0,"adorable"
"222","adoration",0,0,0,0,1,0,1,0,0,1,"adoración"
"223","adore",0,1,0,0,1,0,1,0,0,1,"adorar"
"224","adorn",0,0,0,0,0,0,0,0,0,0,"adornar"
"225","adornment",0,0,0,0,0,0,0,0,0,0,"adorno"
"226","adrift",0,1,0,1,0,1,0,1,0,0,"a la deriva"
"227","adult",0,0,0,0,0,0,0,0,0,0,"adulto"
"228","adulterated",0,0,0,0,0,1,0,0,0,0,"espurio"
"229","adultery",0,0,1,0,0,1,0,1,0,0,"adulterio"
"230","advance",0,1,0,1,1,0,1,0,1,0,"ventaja"
"231","advanced",0,0,0,0,0,0,1,0,0,0,"avanzado"
"232","advancement",0,0,0,0,0,0,1,0,0,0,"avance"
"233","advancing",0,0,0,0,0,0,0,0,0,0,"avanzando"
"234","advantage",0,0,0,0,0,0,1,0,0,0,"ventaja"
"235","advantageous",0,0,0,0,0,0,1,0,0,0,"ventajoso"
"236","advent",0,1,0,0,1,0,1,0,0,1,"adviento"
"237","adventure",0,1,0,0,0,0,1,0,0,0,"aventura"
"238","adventurer",0,0,0,0,0,0,0,0,0,0,"aventurero"
"239","adventurous",0,0,0,0,0,0,1,0,0,0,"aventurero"
"240","adversary",1,0,0,0,0,1,0,0,0,0,"adversario"
"241","adverse",1,0,1,1,0,1,0,1,0,0,"adverso"
"242","adversity",1,0,0,1,0,1,0,1,0,0,"adversidad"
"243","advertise",0,0,0,0,0,0,0,0,0,0,"anunciar"
"244","advertisement",0,0,0,0,0,0,0,0,0,0,"anuncio publicitario"
"245","advice",0,0,0,0,0,0,0,0,0,1,"consejo"
"246","advisable",0,0,0,0,0,0,1,0,0,1,"aconsejable"
"247","advise",0,0,0,0,0,0,1,0,0,1,"consejo"
"248","advised",0,0,0,0,0,0,0,0,0,1,"aconsejado"
"249","advisement",0,0,0,0,0,0,0,0,0,0,"asesoramiento"
"250","adviser",0,0,0,0,0,0,1,0,0,1,"asesor"
"251","advocacy",1,1,0,0,1,0,1,0,0,1,"Abogacía"
"252","advocate",0,0,0,0,0,0,0,0,0,1,"defensor"
"253","aegis",0,0,0,0,0,0,0,0,0,0,"égida"
"254","aeration",0,0,0,0,0,0,0,0,0,0,"aireación"
"255","aerial",0,0,0,0,0,0,0,0,0,0,"aéreo"
"256","aerodrome",0,0,0,0,0,0,0,0,0,0,"aeródromo"
"257","aerodynamics",0,0,0,0,0,0,0,0,0,0,"aerodinámica"
"258","aeronautics",0,0,0,0,0,0,0,0,0,0,"aeronáutica"
"259","aeroplane",0,0,0,0,0,0,0,0,0,0,"avión"
"260","aesthetic",0,0,0,0,0,0,1,0,0,0,"estético"
"261","aesthetics",0,0,0,0,1,0,1,0,0,0,"estética"
"262","aetiology",0,0,0,0,0,0,0,0,0,0,"etiología"
"263","afar",0,0,0,0,0,0,0,0,0,0,"lejos"
"264","affable",0,0,0,0,0,0,1,0,0,0,"afable"
"265","affair",0,0,0,0,0,0,0,0,0,0,"asunto"
"266","affecting",0,0,0,0,0,0,0,0,0,0,"conmovedor"
"267","affection",0,0,0,0,1,0,1,0,0,1,"cariño"
"268","affections",0,0,0,0,0,0,0,0,0,0,"afectos"
"269","affiche",0,0,0,0,0,0,0,0,0,0,"afiche"
"270","affidavit",0,0,0,0,0,0,0,0,0,0,"declaración jurada"
"271","affiliated",0,0,0,0,0,0,1,0,0,0,"asociado"
"272","affiliation",0,0,0,0,0,0,0,0,0,0,"afiliación"
"273","affinity",0,0,0,0,0,0,0,0,0,0,"afinidad"
"274","affirm",0,0,0,0,0,0,1,0,0,1,"afirmar"
"275","affirmation",0,0,0,0,0,0,1,0,0,0,"afirmación"
"276","affirmative",0,0,0,0,0,0,1,0,0,0,"afirmativo"
"277","affirmatively",0,0,0,0,0,0,1,0,0,1,"afirmativamente"
"278","affix",0,0,0,0,0,0,0,0,0,0,"afijo"
"279","afflict",0,0,0,1,0,1,0,1,0,0,"afligir"
"280","afflicted",0,0,0,0,0,1,0,0,0,0,"afligido"
"281","affliction",0,0,1,1,0,1,0,1,0,0,"aflicción"
"282","affluence",0,0,0,0,1,0,1,0,0,0,"afluencia"
"283","affluent",0,0,0,0,0,0,1,0,0,0,"afluente"
"284","afford",0,0,0,0,0,0,1,0,0,0,"solventar"
"285","affront",1,0,1,1,0,1,0,1,1,0,"afrenta"
"286","afield",0,0,0,0,0,0,0,0,0,0,"al campo"
"287","afore",0,0,0,0,0,0,0,0,0,0,"a proa"
"288","aforementioned",0,0,0,0,0,0,0,0,0,0,"citado"
"289","aforesaid",0,0,0,0,0,0,0,0,0,0,"antedicho"
"290","afraid",0,0,0,1,0,1,0,0,0,0,"atemorizado"
"291","afresh",0,0,0,0,0,0,0,0,0,0,"de nuevo"
"292","aft",0,0,0,0,0,0,0,0,0,0,"en popa"
"293","aftermath",1,0,1,1,0,1,0,1,0,0,"secuelas"
"294","afternoon",0,0,0,0,0,0,0,0,0,0,"tarde"
"295","aftertaste",0,0,0,0,0,1,0,0,0,0,"regusto"
"296","afterthought",0,0,0,0,0,0,0,0,0,0,"idea tardía"
"297","aga",0,0,0,1,0,0,1,0,0,1,"aga"
"298","agate",0,0,0,0,0,0,0,0,0,0,"ágata"
"299","age",0,0,0,0,0,0,0,0,0,0,"años"
"300","aged",0,0,0,0,0,0,0,0,0,0,"Envejecido"
"301","agency",0,0,0,0,0,0,0,0,0,0,"agencia"
"302","agent",0,0,0,0,0,0,0,0,0,0,"agente"
"303","agglomeration",0,0,0,0,0,0,0,0,0,0,"aglomeración"
"304","aggravated",1,0,0,0,0,1,0,0,0,0,"agravado"
"305","aggravating",1,0,0,0,0,1,0,1,0,0,"agravante"
"306","aggravation",1,0,1,0,0,1,0,0,0,0,"agravación"
"307","aggregate",0,0,0,0,0,0,0,0,0,0,"agregar"
"308","aggregation",0,0,0,0,0,0,0,0,0,0,"agregación"
"309","aggression",1,0,0,1,0,1,0,0,0,0,"agresión"
"310","aggressive",1,0,0,1,0,1,0,0,0,0,"agresivo"
"311","aggressor",1,0,0,1,0,1,0,0,0,0,"agresor"
"312","aghast",0,0,1,1,0,1,0,0,1,0,"espantado"
"313","agile",0,0,0,0,0,0,1,0,0,0,"ágil"
"314","agility",0,0,0,0,0,0,1,0,0,0,"agilidad"
"315","agitated",1,0,0,0,0,1,0,0,0,0,"agitado"
"316","agitation",1,0,0,0,0,1,0,0,0,0,"agitación"
"317","agnostic",0,0,0,0,0,0,0,0,0,0,"agnóstico"
"318","ago",0,0,0,0,0,0,0,0,0,0,"atrás"
"319","agonizing",0,0,0,1,0,1,0,0,0,0,"agonizante"
"320","agony",1,0,0,1,0,1,0,1,0,0,"agonía"
"321","agree",0,0,0,0,0,0,1,0,0,0,"aceptar"
"322","agreeable",0,0,0,0,0,0,1,0,0,1,"agradable"
"323","agreed",0,0,0,0,0,0,1,0,0,1,"acordado"
"324","agreeing",0,0,0,0,0,0,1,0,0,1,"estar de acuerdo"
"325","agreement",0,0,0,0,0,0,1,0,0,1,"convenio"
"326","agricultural",0,0,0,0,0,0,0,0,0,0,"agrícola"
"327","agriculture",0,0,0,0,0,0,1,0,0,0,"agricultura"
"328","aground",0,0,0,0,0,1,0,0,0,0,"encallado"
"329","agua",0,0,0,0,0,0,0,0,0,0,"agua"
"330","ahead",0,0,0,0,0,0,1,0,0,0,"adelante"
"331","aid",0,0,0,0,0,0,1,0,0,0,"ayuda"
"332","aiding",0,0,0,0,0,0,1,0,0,0,"ayudando"
"333","ail",0,0,0,0,0,1,0,1,0,0,"afligir"
"334","ailing",0,0,0,1,0,1,0,1,0,0,"enfermo"
"335","ailment",0,0,0,0,0,0,0,0,0,0,"enfermedad"
"336","aim",0,0,0,0,0,0,0,0,0,0,"apuntar"
"337","aimless",0,0,0,0,0,1,0,0,0,0,"sin objetivo"
"338","air",0,0,0,0,0,0,0,0,0,0,"aire"
"339","airbag",0,0,0,0,0,0,0,0,0,0,"bolsa de aire"
"340","airlift",0,0,0,0,0,0,0,0,0,0,"puente aéreo"
"341","airline",0,0,0,0,0,0,0,0,0,0,"aerolínea"
"342","airman",0,0,0,0,0,0,0,0,0,0,"aviador"
"343","airplane",0,0,0,0,0,0,0,0,0,0,"avión"
"344","airport",0,1,0,0,0,0,0,0,0,0,"aeropuerto"
"345","airs",0,0,1,0,0,1,0,0,0,0,"aires"
"346","airship",0,0,0,0,0,0,0,0,0,0,"dirigible"
"347","aisle",0,0,0,0,0,0,0,0,0,0,"pasillo"
"348","ait",0,0,0,0,0,0,0,0,0,0,"espera"
"349","ajar",0,0,0,0,0,0,0,0,0,0,"un frasco"
"350","akin",0,0,0,0,0,0,0,0,0,1,"parecido"
"351","alabaster",0,0,0,0,0,0,1,0,0,0,"alabastro"
"352","alarm",0,0,0,1,0,1,0,0,1,0,"alarma"
"353","alarming",0,0,0,1,0,1,0,0,1,0,"alarmante"
"354","alb",0,0,0,0,0,0,0,0,0,1,"alba"
"355","album",0,0,0,0,0,0,0,0,0,0,"álbum"
"356","alchemy",0,0,0,0,0,0,0,0,0,0,"alquimia"
"357","alcohol",0,0,0,0,0,0,0,0,0,0,"alcohol"
"358","alcoholism",1,0,1,1,0,1,0,1,0,0,"alcoholismo"
"359","alcove",0,0,0,0,0,0,0,0,0,0,"hueco"
"360","alert",0,0,0,0,0,0,0,0,0,0,"alerta"
"361","alertness",0,1,0,1,0,0,1,0,1,0,"vigilancia"
"362","alerts",0,1,0,1,0,0,0,0,1,0,"alertas"
"363","alfalfa",0,0,0,0,0,0,0,0,0,0,"alfalfa"
"364","algebra",0,0,0,0,0,0,0,0,0,0,"álgebra"
"365","algebraic",0,0,0,0,0,0,0,0,0,0,"algebraico"
"366","algorithm",0,0,0,0,0,0,0,0,0,0,"algoritmo"
"367","alibi",0,0,0,0,0,0,0,0,0,0,"coartada"
"368","alien",0,0,1,1,0,1,0,0,0,0,"extraterrestre"
"369","alienate",1,0,1,0,0,1,0,0,0,0,"enajenar"
"370","alienated",0,0,0,0,0,1,0,1,0,0,"alienado"
"371","alienation",1,0,1,1,0,1,0,1,0,0,"alienación"
"372","alight",0,0,0,0,0,0,0,0,0,0,"posarse"
"373","aligned",0,0,0,0,0,0,0,0,0,0,"alineado"
"374","alignment",0,0,0,0,0,0,0,0,0,0,"alineación"
"375","alike",0,0,0,0,0,0,0,0,0,0,"similar"
"376","alimentation",0,0,0,0,0,0,1,0,0,0,"alimentación"
"377","alimony",0,0,0,0,0,1,0,0,0,0,"pensión alimenticia"
"378","aliquot",0,0,0,0,0,0,0,0,0,0,"alícuota"
"379","alive",0,1,0,0,1,0,1,0,0,1,"viva"
"380","alkali",0,0,0,0,0,0,0,0,0,0,"álcali"
"381","alkaloids",0,0,0,0,0,0,0,0,0,0,"alcaloides"
"382","allay",0,0,0,0,0,0,1,0,0,0,"aliviar"
"383","allegation",1,0,0,0,0,1,0,0,0,0,"alegación"
"384","allege",0,0,0,0,0,1,0,0,0,0,"alegar"
"385","alleged",0,0,0,0,0,0,0,0,0,0,"presunto"
"386","allegiance",0,0,0,0,0,0,1,0,0,1,"lealtad"
"387","allegorical",0,0,0,0,0,0,0,0,0,0,"alegórico"
"388","allegory",0,0,0,0,0,0,0,0,0,0,"alegoría"
"389","allegro",0,0,0,0,0,0,1,0,0,0,"alegro"
"390","alleviate",0,0,0,0,0,0,1,0,0,0,"aliviar"
"391","alleviation",0,0,0,0,0,0,1,0,0,0,"alivio"
"392","alley",0,0,0,0,0,0,0,0,0,0,"callejón"
"393","alliance",0,0,0,0,0,0,0,0,0,1,"Alianza"
"394","allied",0,0,0,0,0,0,1,0,0,1,"aliado"
"395","alligator",0,0,0,0,0,0,0,0,0,0,"caimán"
"396","allocate",0,0,0,0,0,0,0,0,0,0,"asignar"
"397","allocation",0,0,0,0,0,0,0,0,0,0,"asignación"
"398","allot",0,0,0,0,0,0,0,0,0,0,"asignar"
"399","allotment",0,0,0,0,0,0,0,0,0,0,"asignación"
"400","allowable",0,0,0,0,0,0,1,0,0,0,"admisible"
"401","allowance",0,0,0,0,0,0,0,0,0,0,"tolerancia"
"402","allowed",0,0,0,0,0,0,0,0,0,0,"permitió"
"403","alloy",0,0,0,0,0,0,0,0,0,0,"aleación"
"404","allure",0,1,0,0,1,0,1,0,1,0,"seducir"
"405","alluring",0,0,0,0,0,0,1,0,0,0,"seductor"
"406","allusion",0,0,0,0,0,0,0,0,0,0,"alusión"
"407","alluvial",0,0,0,0,0,0,0,0,0,0,"aluvial"
"408","ally",0,0,0,0,0,0,1,0,0,1,"aliado"
"409","almanac",0,0,0,0,0,0,0,0,0,0,"almanaque"
"410","almighty",0,0,0,0,0,0,1,0,0,0,"todopoderoso"
"411","aloft",0,0,0,0,0,0,0,0,0,0,"en alto"
